Year,Month,PCE
2018,JAN,0.4
2018,FEB,0.2
2018,MAR,0.1
2018,APR,0.2
2018,MAY,0.2
2018,JUN,0.1
2018,JUL,0.1
2018,AUG,0.1
2018,SEP,0.2
2018,OCT,0.2
2018,NOV,0
2018,DEC,0.1
2019,JAN,-0.1
2019,FEB,0.2
2019,MAR,0.2
2019,APR,0.3
2019,MAY,0.1
2019,JUN,0
2019,JUL,0.1
2019,AUG,0
2019,SEP,0.1
2019,OCT,0.2
2019,NOV,0.1
2019,DEC,0.3
2020,JAN,0.1
2020,FEB,0.1
2020,MAR,-0.3
2020,APR,-0.4
2020,MAY,0.1
2020,JUN,0.3
2020,JUL,0.3
2020,AUG,0.3
2020,SEP,0.2
2020,OCT,0.1
2020,NOV,0.1
2020,DEC,0.4
2021,JAN,0.4
2021,FEB,0.4
2021,MAR,0.5
2021,APR,0.6
2021,MAY,0.5
2021,JUN,0.5
2021,JUL,0.5
2021,AUG,0.4
2021,SEP,0.3
2021,OCT,0.6
2021,NOV,0.7
2021,DEC,0.6
2022,JAN,0.5
2022,FEB,0.6
2022,MAR,0.9
2022,APR,0.3
2022,MAY,0.6
2022,JUN,0.9
2022,JUL,0
2022,AUG,0.3
2022,SEP,0.3
2022,OCT,0.4
2022,NOV,0.3
2022,DEC,0.2
2023,JAN,0.5
2023,FEB,0.3
2023,MAR,0.1
2023,APR,0.3
2023,MAY,0.1
2023,JUN,0.2
2023,JUL,0.1
2023,AUG,0.3
2023,SEP,0.3
2023,OCT,0
2023,NOV,0
2023,DEC,0.2
2024,JAN,0.4
2024,FEB,0.3
2024,MAR,0.3
2024,APR,0.3
2024,MAY,0
2024,JUN,0.1
2024,JUL,0.2
2024,AUG,0.1
2024,SEP,0.2
2024,OCT,0.2
2024,NOV,0.1
2024,DEC,0.3
